Sector,research.question,sub.research.question,dependent.variable,dependent.variable.type,independent.variable,independent.variable.type,repeat.for.variable,hypothesis.type
Livelihoods,Main barriers to employment,"Only low-skilled, socially degrading or low-paying jobs",employment_barrier_only_low_available,categorical,all,categorical,all,direct_reporting
Livelihoods,Main barriers to employment,Lack of family/personal connections,employment_barrier_no_wasta,categorical,all,categorical,all,direct_reporting
Livelihoods,"% of households whose average monthly income [from employment and pension] was less than 480,000 IQD/month",,insufficient_income,categorical,all,categorical,all,direct_reporting
Livelihoods,% of HHs reporting a barrier to an operational marketplace,,market_barrier,categorical,all,categorical,all,direct_reporting
Livelihoods,"% HH with debt value > 505,000 IQD ",,too_much_debt,categorical,all,categorical,all,direct_reporting
Livelihoods,"% HH unable to afford basic needs (% HH taking on debt due to healthcare, food, education, or basic household expenditures)",,basic_services,categorical,all,categorical,all,direct_reporting
"Livelihoods, Health",% of HH spending more than 25% of total expenditure on health,,health_expenses,categorical,all,categorical,all,direct_reporting
Protection,% HHs reporting risk of eviction,,risk_eviction,categorical,all,categorical,all,direct_reporting
Protection,% of HHs reporting to experience daytime movement restrictions,,movement_restriction,categorical,all,categorical,all,direct_reporting
Protection,% HH missing at least one key household or individual document ,,hh_missing_doc,categorical,all,categorical,all,direct_reporting
WASH,% of HHs without access to an improved water source,,imptoved_water_source,categorical,all,categorical,all,direct_reporting
WASH,% of HHs without access to [type of water source],"Improved:
1.Piped water into compound
2.Piped water connected to public tap
3.Borehole
4.Protected well
5.Protected rainwater tank
6.Protected spring
7.Bottled water

Unimproved:
8.Water Trucking
9.Unofficial connection to piped network
10.Unprotected rainwater tank
11.Unprotected well
12.Unprotected spring
13. Surface water without pre-treatment (river, dam, lake, pond, stream, canal)
14. Other",water_source,categorical,all,categorical,all,direct_reporting
WASH,% HH with access to improved functional sanitation facilities ,,improved_sanitation,categorical,all,categorical,all,direct_reporting
WASH,% HH treating their water prior to drinking,,treat_water,categorical,all,categorical,all,direct_reporting
